12345678,1
12345687,2
12345768,2
12345786,3
12345867,4
12345876,4
12346578,2
12346587,4
12346758,3
12346785,4
12346857,6
12346875,5
12347568,4
12347586,6
12347658,4
12347685,6
12347856,7
12347865,8
12348567,8
12348576,8
12348657,8
12348675,8
12348756,9
12348765,9
12354678,2
12354687,4
12354768,4
12354786,6
12354867,8
12354876,8
12356478,3
12356487,6
12356748,4
12356784,5
12356847,8
12356874,6
12357468,6
12357486,9
12357648,5
12357684,7
12357846,9
12357864,10
12358467,12
12358476,12
12358647,10
12358674,9
12358746,11
12358764,11
12364578,4
12364587,8
12364758,6
12364785,8
12364857,12
12364875,10
12365478,4
12365487,8
12365748,6
12365784,8
12365847,12
12365874,10
12367458,7
12367485,10
12367548,8
12367584,11
12367845,12
12367854,12
12368457,14
12368475,13
12368547,16
12368574,14
12368745,13
12368754,14
12374568,8
12374586,12
12374658,8
12374685,12
12374856,14
12374865,16
12375468,8
12375486,12
12375648,8
12375684,12
12375846,14
12375864,16
12376458,9
12376485,13
12376548,9
12376584,13
12376845,15
12376854,17
12378456,16
12378465,18
12378546,17
12378564,19
12378645,18
12378654,20
12384567,16
12384576,16
12384657,16
12384675,16
12384756,18
12384765,18
12385467,16
12385476,16
12385647,16
12385674,16
12385746,19
12385764,17
12386457,18
12386475,17
12386547,18
12386574,17
12386745,18
12386754,20
12387456,20
12387465,21
12387546,21
12387564,20
12387645,21
12387654,21
12435678,2
12435687,4
12435768,4
12435786,6
12435867,8
12435876,8
12436578,4
12436587,8
12436758,6
12436785,8
12436857,12
12436875,10
12437568,8
12437586,12
12437658,8
12437685,12
12437856,14
12437865,16
12438567,16
12438576,16
12438657,16
12438675,16
12438756,18
12438765,18
12453678,3
12453687,6
12453768,6
12453786,9
12453867,12
12453876,12
12456378,4
12456387,8
12456738,5
12456783,6
12456837,10
12456873,7
12457368,8
12457386,12
12457638,6
12457683,8
12457836,11
12457863,12
12458367,16
12458376,16
12458637,12
12458673,10
12458736,13
12458763,13
12463578,6
12463587,12
12463758,9
12463785,12
12463857,18
12463875,15
12465378,5
12465387,10
12465738,7
12465783,9
12465837,14
12465873,11
12467358,9
12467385,13
12467538,10
12467583,13
12467835,15
12467853,14
12468357,18
12468375,17
12468537,20
12468573,16
12468735,15
12468753,17
12473568,12
12473586,18
12473658,12
12473685,18
12473856,21
12473865,24
12475368,10
12475386,15
12475638,9
12475683,13
12475836,16
12475863,18
12476358,11
12476385,16
12476538,11
12476583,15
12476835,18
12476853,19
12478356,20
12478365,23
12478536,21
12478563,23
12478635,21
12478653,24
12483567,24
12483576,24
12483657,24
