1234567,5040
1234576,720
1234657,840
1234675,720
1234756,240
1234765,120
1235467,1008
1235476,144
1235647,840
1235674,720
1235746,240
1235764,120
1236457,336
1236475,144
1236547,168
1236574,144
1236745,240
1236754,120
1237456,144
1237465,48
1237546,72
1237564,48
1237645,48
1237654,24
1243567,1260
1243576,180
1243657,210
1243675,180
1243756,60
1243765,30
1245367,1008
1245376,144
1245637,840
1245673,720
1245736,240
1245763,120
1246357,336
1246375,144
1246537,168
1246573,144
1246735,240
1246753,120
1247356,144
1247365,48
1247536,72
1247563,48
1247635,48
1247653,24
1253467,504
1253476,72
1253647,210
1253674,180
1253746,60
1253764,30
1254367,252
1254376,36
1254637,210
1254673,180
1254736,60
1254763,30
1256347,336
1256374,144
1256437,168
1256473,144
1256734,240
1256743,120
1257346,144
1257364,48
1257436,72
1257463,48
1257634,48
1257643,24
1263457,252
1263475,72
1263547,84
1263574,72
1263745,60
1263754,30
1264357,126
1264375,36
1264537,84
1264573,72
1264735,60
1264753,30
1265347,84
1265374,36
1265437,42
1265473,36
1265734,60
1265743,30
1267345,144
1267354,48
1267435,72
1267453,48
1267534,48
1267543,24
1273456,144
1273465,36
1273546,48
1273564,36
1273645,24
1273654,12
1274356,72
1274365,18
1274536,48
1274563,36
1274635,24
1274653,12
1275346,48
1275364,18
1275436,24
1275463,18
1275634,24
1275643,12
1276345,36
1276354,12
1276435,18
1276453,12
1276534,12
1276543,6
1324567,1680
1324576,240
1324657,280
1324675,240
1324756,80
1324765,40
1325467,336
1325476,48
1325647,280
1325674,240
1325746,80
1325764,40
1326457,112
1326475,48
1326547,56
1326574,48
1326745,80
1326754,40
1327456,48
1327465,16
1327546,24
1327564,16
1327645,16
1327654,8
1342567,1260
1342576,180
1342657,210
1342675,180
1342756,60
1342765,30
1345267,1008
1345276,144
1345627,840
1345672,720
1345726,240
1345762,120
1346257,336
1346275,144
1346527,168
1346572,144
1346725,240
1346752,120
1347256,144
1347265,48
1347526,72
1347562,48
1347625,48
1347652,24
1352467,504
1352476,72
1352647,210
1352674,180
1352746,60
1352764,30
1354267,252
1354276,36
1354627,210
1354672,180
1354726,60
1354762,30
